lon,lat,precip_1d,precip_3d,NDVI,NDWI,landcover,elevation,slope,aspect,upstream_area,TWI,target
120.480923012005,-6.49369661007899,9.64512538909912,28.9353761672974,6190.93061957015,0.0283988770097494,17.0,4.0,0.939179062843323,240.413745985812,0.0212353076785802,0.25879649268236,1
120.476431435584,-6.45776399871421,9.64512538909912,28.9353761672974,1068.0,0.0189442653208971,17.0,6.0,3.79236054420471,259.446227695195,0.146535292267799,0.793287497853911,1
120.471939859164,-6.43755190482152,7.43949604034424,22.3184881210327,4893.0,-0.0045591434463858,17.0,3.0,2.07139110565186,232.018646812429,0.0319899730384349,1.04209752230915,1
120.467448282743,-6.40386508166704,7.43949604034424,22.3184881210327,1663.0,0.0356609486043453,11.0,2.0,0.695584058761597,0.0,0.492736637592316,3.70340079760966,1
120.476431435584,-6.31403355325509,8.14312362670898,24.429370880127,3217.5,0.0180442295968532,17.0,6.0,1.52044034004211,274.372124505133,4.25058460235596,5.07604873116361,1
120.44499040064,-6.19500677810925,7.97543478012085,23.9263043403625,2661.0,0.076634407043457,11.0,6.0,0.940029501914978,262.916157848548,0.0212473794817924,0.258459543263752,1
120.431515671379,-6.18602362526806,7.97543478012085,23.9263043403625,6190.93061957015,0.07585921138525,17.0,0.0,0.466450691223144,270.0,0.0319899730384349,1.04209752230915,1
120.44274461243,-6.18602362526806,7.97543478012085,23.9263043403625,4662.0,0.179768294095993,8.0,13.0,0.778589844703674,206.699095989133,0.0212476849555969,0.446928963243536,1
120.429269883168,-6.18377783705776,7.97543478012085,23.9263043403625,6190.93061957015,0.0489248819649219,17.0,0.0,0.0,0.0,0.0319899730384349,1.04209752230915,1
120.433761459589,-6.17704047242686,7.97543478012085,23.9263043403625,4950.0,0.085156500339508,9.0,1.0,0.164437681436539,45.1667810386009,0.0467458888888359,2.79041887092685,1
120.433761459589,-6.17479468421656,7.97543478012085,23.9263043403625,3851.0,0.0816743746399879,9.0,0.0,0.36854362487793,288.335184306427,0.0169985257089138,0.971780701067874,1
120.433761459589,-6.17254889600626,7.97543478012085,23.9263043403625,3851.0,0.0816743746399879,9.0,0.0,0.233223333954811,270.0,0.104116380214691,3.24173424668538,1
120.44049882422,-6.17030310779596,7.97543478012085,23.9263043403625,3529.5,0.0838938802480697,17.0,0.0,1.03806388378143,333.301579854053,10.6812973022461,6.37925450894001,1
120.44274461243,-6.16805731958566,7.97543478012085,23.9263043403625,3529.5,0.0838938802480697,17.0,1.0,0.709172189235687,279.408534481994,11.0573921203613,6.7949319909217,1
120.449481977061,-6.14110786106208,7.06324148178101,21.189724445343,6190.93061957015,0.0334833748638629,17.0,3.0,0.260437458753586,243.566611834115,0.0148746259510517,1.18551413200298,1
120.451727765271,-6.13661628464148,8.26286697387695,24.7886009216309,5297.0,0.0622417740523815,11.0,7.0,0.816176354885101,270.0,0.53123676776886,3.61873668156843,1
120.456219341692,-6.12763313180029,8.26286697387695,24.7886009216309,5492.5,0.0860048457980156,13.0,3.0,0.939913213253021,262.915277100511,7.32044982910156,6.10077676844509,1
120.420286730327,-6.12089576716939,7.06324148178101,21.189724445343,5090.5,0.099717728793621,17.0,5.0,0.938667833805084,119.603975523516,0.0871259272098541,1.67103033288381,1
120.460710918112,-5.80423962951726,12.1214666366577,48.4858655929565,5612.0,0.091283231973648,10.0,5.0,0.708712100982666,279.414698862704,0.0141748236492276,0.136193990860544,1
120.460710918112,-5.80199384130696,12.1214666366577,48.4858655929565,5612.0,0.0467170402407646,9.0,5.0,0.932182788848877,270.0,0.0467773377895355,1.05600865520487,1
119.762270784709,-5.70093337184351,10.5430307388306,42.1721229553223,6190.93061957015,0.0280943978577852,11.0,6.0,0.927409946918488,180.0,3.49627709388733,5.375197923386,1
119.777991302182,-5.69868758363322,0.0,55.2205142974854,1774.5,0.124290987849236,9.0,8.0,0.164366006851196,225.141935871118,0.0106330839917063,1.31009880336347,1
119.726338173345,-5.69644179542292,0.0,69.4466133117676,2682.0,0.145781010389328,9.0,9.0,0.366800338029861,161.479787212445,0.43808701634407,4.22581319973216,1
119.728583961555,-5.69644179542292,0.0,69.4466133117676,2682.0,0.145781010389328,9.0,10.0,0.116511590778828,90.0,0.0127597395330667,1.83652969186935,1
119.777991302182,-5.69644179542292,0.0,55.2205142974854,1774.5,0.124290987849236,9.0,8.0,0.260269582271576,243.548240658827,7.08647203445435,7.35244503626334,1
119.795957607864,-5.69644179542292,0.0,55.2205142974854,2173.0,0.0020620166324079,17.0,6.0,1.15040838718414,134.858174984911,0.0808117911219596,1.39234317849402,1
119.703880291242,-5.68970443079202,0.0,69.4466133117676,2880.0,0.140066623687744,12.0,18.0,0.328726768493652,225.141492708124,0.0085065811872482,0.393829198927276,1
119.757779208289,-5.66050918405814,0.0,55.2205142974854,1615.0,0.121525287628174,12.0,47.0,0.657415330410004,134.85994276279,0.0319012776017189,1.02251315747409,1
119.773499725761,-5.65826339584784,0.0,55.2205142974854,1814.0,0.121477611362934,12.0,28.0,0.811500310897827,180.0,0.774154186248779,4.00104638578212,1
119.83862758386,-5.65601760763754,0.0,47.4783535003662,2481.5,0.0411503985524177,17.0,0.0,0.260255128145218,116.453345037608,1.62062311172485,5.87712366663462,1
119.661210315246,-5.65377181942724,0.0,82.8241004943848,246.0,0.0526684038341045,16.0,3.0,1.25808930397034,303.561209564777,1.69927883148193,4.34867603163002,1
119.755533420079,-5.65377181942724,0.0,55.2205142974854,1443.0,0.128299549221992,12.0,50.0,0.518976986408234,206.676996672981,0.0148874167352914,0.496856417994679,1
119.762270784709,-5.65377181942724,0.0,55.2205142974854,2076.0,0.131425783038139,12.0,41.0,0.708532333374023,80.5828904433142,0.025521257892251,0.724492041981895,1
119.76451657292,-5.65377181942724,0.0,55.2205142974854,2076.0,0.131425783038139,12.0,41.0,0.82174414396286,225.139727019088,1.76528918743134,4.81279911137855,1
119.771253937551,-5.65377181942724,0.0,55.2205142974854,1814.0,0.12637834250927,12.0,42.0,1.5247175693512,171.211740874637,0.45939028263092,2.8483265377862,1
119.773499725761,-5.65377181942724,0.0,55.2205142974854,1814.0,0.12637834250927,12.0,42.0,2.0008544921875,190.055915752193,0.121226899325848,1.244154721888,1
119.775745513971,-5.65377181942724,0.0,55.2205142974854,1656.5,0.129341930150986,12.0,45.0,1.87100648880005,209.865410787833,0.121226906776428,1.31130367977089,1
119.780237090392,-5.65377181942724,0.0,55.2205142974854,1656.5,0.126890495419502,12.0,49.0,0.819818317890167,171.830682199678,0.0446623265743255,1.13820630526844,1
119.661210315246,-5.65152603121694,0.0,82.8241004943848,246.0,0.082729198038578,10.0,4.0,0.260253518819809,116.453520535849,0.0871980935335159,2.95474632677248,1
119.663456103456,-5.65152603121694,0.0,82.8241004943848,246.0,0.082729198038578,10.0,4.0,0.116502612829208,90.0,0.0085071381181478,1.43121747607542,1
119.753287631868,-5.65152603121694,0.0,55.2205142974854,1443.0,0.128299549221992,12.0,49.0,0.695584058761597,180.0,0.0552964843809604,1.51613530289751,1
119.755533420079,-5.65152603121694,0.0,55.2205142974854,1443.0,0.128299549221992,12.0,50.0,0.366797477006912,161.481117227957,0.0148874875158071,0.843924537937403,1
